"Número do Alimento","Categoria do alimento","Descrição dos alimentos","Umidade....","Energia..kcal.","Energia..kJ.","Proteína..g.","Lipídeos..g.","Colesterol..mg.","Carboidrato..g.","Fibra.Alimentar..g.","Cinzas..g.","Cálcio..mg.","Magnésio..mg.","Manganês..mg.","Fósforo..mg.","Ferro..mg.","Sódio..mg.","Potássio..mg.","Cobre..mg.","Zinco..mg.","Retinol..mcg.","RE..mcg.","RAE..mcg.","Tiamina..mg.","Riboflavina..mg.","Piridoxina..mg.","Niacina..mg.","Vitamina.C..mg."
239,"Frutas e derivados","Morango, cru",91.5,30,126,0.9,0.3,NA,6.8,1.7,0.5,11,10,0.33,22,0.3,1e-05,184,0.06,0.2,NA,NA,NA,1e-05,0.03,0.03,1e-05,63.6
240,"Frutas e derivados","Nêspera, crua",87.8,43,178,0.3,1e-05,NA,11.5,3,0.4,20,10,0.07,10,0.1,1e-05,113,0.12,0.1,NA,170,85,1e-05,1e-05,1e-05,1e-05,3.2
241,"Frutas e derivados","Pequi, cru",65.9,205,858,2.3,18,NA,13,19,0.8,32,30,0.64,34,0.3,1e-05,298,0.21,1,NA,60,30,0.17,0.48,0.06,2.57,8.3
242,"Frutas e derivados","Pêra, Park, crua",83.2,61,254,0.2,0.2,NA,16.1,3,0.3,9,6,0.04,12,0.3,1,102,0.08,0.1,NA,NA,NA,0.06,1e-05,1e-05,1e-05,2.4
243,"Frutas e derivados","Pêra, Williams, crua",85,53,223,0.6,0.1,NA,14,3,0.3,8,6,0.04,12,0.1,1e-05,116,0.07,0.1,NA,NA,NA,1e-05,1e-05,1e-05,1e-05,2.8
244,"Frutas e derivados","Pêssego, Aurora, cru",89.3,36,152,0.8,1e-05,NA,9.3,1.4,0.5,3,4,0.05,15,0.2,1e-05,124,0.02,0.1,NA,NA,NA,0.05,1e-05,1e-05,1e-05,3.3
245,"Frutas e derivados","Pêssego, enlatado, em calda",82.2,63,264,0.7,1e-05,NA,16.9,1,0.2,4,4,0.03,9,0.6,3,95,0.04,0.1,NA,48,24,1e-05,1e-05,1e-05,1e-05,1e-05
246,"Frutas e derivados","Pinha, crua",75,88,370,1.5,0.3,NA,22.4,3.4,0.7,21,31,0.15,34,0.2,1,283,0.11,0.2,NA,NA,NA,0.12,0.04,0.09,1e-05,35.9
247,"Frutas e derivados","Pitanga, crua",88.3,41,173,0.9,0.2,NA,10.2,3.2,0.4,18,12,0.36,13,0.4,2,113,0.08,0.4,NA,154,77,0.03,0.1,1e-05,1e-05,24.9
248,"Frutas e derivados","Pitanga, polpa, congelada",94.6,19,80,0.3,0.1,NA,4.8,0.7,0.3,8,6,0.05,12,0.4,5,87,0.06,0.1,NA,146,73,1e-05,1e-05,1e-05,1e-05,1e-05
249,"Frutas e derivados","Romã, crua",84,56,233,0.4,1e-05,NA,15.1,0.4,0.5,5,13,0.13,40,0.3,1,485,0.19,0.7,NA,NA,NA,0.12,0.17,0.05,1e-05,8.1
250,"Frutas e derivados","Tamarindo, cru",22,276,1154,3.2,0.5,NA,72.5,6.4,1.9,37,59,0.34,55,0.6,0,723,0.29,0.7,NA,NA,NA,0.31,1e-05,0.1,1e-05,7.2
251,"Frutas e derivados","Tangerina, Poncã, crua",89.2,38,158,0.8,0.1,NA,9.6,0.9,0.3,13,8,0.04,12,0.1,1e-05,131,0.03,1e-05,NA,47,24,0.06,0.02,0.02,1e-05,48.8
252,"Frutas e derivados","Tangerina, Poncã, suco",90.4,36,151,0.5,1e-05,NA,8.8,1e-05,0.3,4,6,0.02,9,1e-05,1e-05,119,0.02,1e-05,NA,51,26,0.06,1e-05,0.03,1e-05,41.8
253,"Frutas e derivados","Tucumã, cru",51.3,262,1096,2.1,19.1,NA,26.5,12.7,1.1,46,121,0.55,53,0.6,4,401,0.39,0.9,NA,2363,1181,0.04,1e-05,0.11,1e-05,18
254,"Frutas e derivados","Umbu, cru",89.3,37,155,0.8,1e-05,NA,9.4,2,0.5,12,11,0.03,13,0.1,1e-05,152,0.04,0.4,NA,NA,NA,0.05,0.06,0.03,1e-05,24.1
255,"Frutas e derivados","Umbu, polpa, congelada",90.2,34,142,0.5,0.1,NA,8.8,1.3,0.4,11,8,0.05,13,0.2,6,154,0.04,0.1,NA,NA,NA,1e-05,0.06,1e-05,1e-05,4
256,"Frutas e derivados","Uva, Itália, crua",85,53,221,0.7,0.2,NA,13.6,0.9,0.6,7,5,0.13,12,0.1,1e-05,162,0.11,1e-05,NA,5,3,1e-05,1e-05,0.03,1e-05,3.3
257,"Frutas e derivados","Uva, Rubi, crua",86.1,49,205,0.6,0.2,NA,12.7,0.9,0.5,8,6,0.07,23,0.2,8,159,0.05,1e-05,NA,NA,NA,0.02,0.02,1e-05,1e-05,1.9
258,"Frutas e derivados","Uva, suco concentrado, envasado",85.1,58,241,1e-05,1e-05,NA,14.7,0.2,0.2,9,7,0.2,10,0.1,10,54,0.13,0.1,NA,NA,NA,0.07,0.02,0.05,1e-05,21
259,"Gorduras e óleos","Azeite, de dendê",NA,884,3699,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
260,"Gorduras e óleos","Azeite, de oliva, extra virgem",NA,884,3699,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
261,"Gorduras e óleos","Manteiga, com sal",15.8,726,3037,0.4,82.4,201,0.1,NA,1.4,9,1,1e-05,28,0.2,579,15,1e-05,1e-05,924,NA,NA,1e-05,1e-05,1e-05,1e-05,1e-05
262,"Gorduras e óleos","Manteiga, sem sal",13.6,758,3170,0.4,86,214,0,NA,0.1,4,1,1e-05,7,1e-05,4,5,0.04,1e-05,1013,NA,NA,1e-05,1e-05,1e-05,1e-05,1e-05
263,"Gorduras e óleos","Margarina, com óleo hidrogenado, com sal (65% de lipídeos)",32.2,596,2494,1e-05,67.4,NA,0,NA,1.9,6,1,1e-05,7,0.1,894,21,1e-05,1e-05,462,NA,NA,1e-05,1e-05,1e-05,1e-05,1e-05
264,"Gorduras e óleos","Margarina, com óleo hidrogenado, sem sal (80% de lipídeos)",19.6,723,3023,1e-05,81.7,NA,0,NA,0.2,3,1,1e-05,4,0.1,78,2,1e-05,1e-05,534,NA,NA,1e-05,1e-05,1e-05,1e-05,1e-05
265,"Gorduras e óleos","Margarina, com óleo interesterificado, com sal (65%de lipídeos)",32,594,2487,1e-05,67.2,NA,0,NA,1.2,5,1,1e-05,6,1e-05,561,15,1e-05,1e-05,385,NA,NA,1e-05,1e-05,1e-05,1e-05,1e-05
266,"Gorduras e óleos","Margarina, com óleo interesterificado, sem sal (65% de lipídeos)",33.4,593,2482,1e-05,67.1,NA,0,NA,0.1,5,1,1e-05,7,0.1,33,5,1e-05,1e-05,245,NA,NA,1e-05,1e-05,1e-05,1e-05,1e-05
267,"Gorduras e óleos","Óleo, de babaçu",NA,884,3699,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
268,"Gorduras e óleos","Óleo, de canola",NA,884,3699,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
269,"Gorduras e óleos","Óleo, de girassol",NA,884,3699,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
270,"Gorduras e óleos","Óleo, de milho",NA,884,3699,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
271,"Gorduras e óleos","Óleo, de pequi",NA,884,3699,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
272,"Gorduras e óleos","Óleo, de soja",NA,884,3699,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
273,"Pescados e frutos do mar","Abadejo, filé, congelado, assado",74.3,112,467,23.5,1.2,103,0,NA,1.6,23,20,1e-05,338,0.5,334,156,0.03,0.5,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.44,NA
274,"Pescados e frutos do mar","Abadejo, filé, congelado,cozido",79.7,91,381,19.3,0.9,87,0,NA,0.9,17,16,1e-05,351,0.3,189,146,0.03,0.4,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,NA
275,"Pescados e frutos do mar","Abadejo, filé, congelado, cru",86.4,59,247,13.1,0.4,31,0,NA,0.6,10,14,0.01,91,0.1,79,148,0.14,0.4,1e-05,1e-05,1e-05,0.04,1e-05,1e-05,4.6,NA
276,"Pescados e frutos do mar","Abadejo, filé, congelado, grelhado",71,130,542,27.6,1.3,136,0,NA,1.6,20,22,1e-05,581,0.3,305,279,1e-05,0.4,6,6,6,0.03,1e-05,1e-05,0.44,NA
277,"Pescados e frutos do mar","Atum, conserva em óleo",64.5,166,694,26.2,6,53,0,NA,1.5,7,29,1e-05,211,1.2,362,280,0.04,0.6,1e-05,1e-05,1e-05,0.15,0.03,1e-05,3.17,NA
278,"Pescados e frutos do mar","Atum, fresco, cru",73.1,118,492,25.7,0.9,48,0,NA,1.3,7,32,1e-05,254,1.3,30,308,0.09,0.4,20,20,20,1e-05,0.04,1e-05,5.94,NA
279,"Pescados e frutos do mar","Bacalhau, salgado, cru",47.9,136,569,29,1.3,139,0,NA,22.5,157,49,0.03,186,0.9,13585,434,0.09,0.7,1e-05,1e-05,1e-05,1e-05,0.21,1e-05,NA,NA
280,"Pescados e frutos do mar","Bacalhau, salgado, refogado",65.9,140,584,24,3.6,112,1.2,NA,5.3,59,15,1e-05,51,0.2,1256,50,0.04,0.6,1e-05,1e-05,1e-05,0.03,0.05,1e-05,5.17,1e-05
281,"Pescados e frutos do mar","Cação, posta, com farinha de trigo, frita",60.6,208,872,25,10,75,3.1,0.5,1.4,30,26,0.06,462,1,160,420,1e-05,0.6,17,17,17,1e-05,1e-05,1e-05,0.77,NA
282,"Pescados e frutos do mar","Cação, posta, cozida",75.9,116,485,25.6,0.7,83,0,NA,1.2,10,21,1e-05,204,0.3,115,249,0.03,0.6,12,12,12,1e-05,0.04,1e-05,9.77,NA
283,"Pescados e frutos do mar","Cação, posta, crua",81.4,83,349,17.9,0.8,36,0,NA,1.2,9,19,0.04,181,0.2,176,299,0.13,0.3,6,6,6,0.04,1e-05,1e-05,1.31,NA
284,"Pescados e frutos do mar","Camarão, Rio Grande, grande, cozido",78.7,90,377,19,1,241,0,NA,1.7,90,19,0.06,266,1.3,367,102,0.17,1.2,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1.07,NA
285,"Pescados e frutos do mar","Camarão, Rio Grande, grande, cru",89.1,47,197,10,0.5,124,0,NA,0.8,51,27,0.04,234,0.7,201,72,0.11,0.7,20,20,20,1e-05,1e-05,1e-05,1e-05,NA
286,"Pescados e frutos do mar","Camarão, Sete Barbas, sem cabeça, com casca, frito",61,231,968,18.4,15.6,283,2.9,NA,2.1,960,74,0.38,337,2.4,99,107,0.19,1.1,1e-05,1e-05,1e-05,0.05,1e-05,1e-05,0.35,NA
287,"Pescados e frutos do mar","Caranguejo, cozido",77,83,346,18.5,0.4,85,0,NA,3.5,357,52,0.07,154,2.9,360,186,0.72,5.7,1e-05,1e-05,1e-05,0.04,0.31,1e-05,4.17,1e-05
288,"Pescados e frutos do mar","Corimba, cru",75.6,128,536,17.4,6,40,0,NA,1,40,23,0.02,190,0.5,47,317,0.03,0.4,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1.87,NA
289,"Pescados e frutos do mar","Corimbatá, assado",59.9,261,1094,19.9,19.6,80,0,NA,1,22,24,0.01,221,1,40,326,0.03,0.7,1e-05,1e-05,1e-05,0.13,0.06,1e-05,2.7,NA
290,"Pescados e frutos do mar","Corimbatá, cozido",64.6,239,999,20.1,16.9,75,0,NA,0.8,65,23,0.02,185,0.6,37,254,0.05,1,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,2.09,NA
291,"Pescados e frutos do mar","Corvina de água doce, crua",79.2,101,423,18.9,2.2,73,0,NA,1,39,25,0.02,154,0.3,45,293,0.02,0.4,8,8,8,1e-05,0.08,1e-05,NA,NA
292,"Pescados e frutos do mar","Corvina do mar, crua",79.4,94,392,18.6,1.6,67,0,NA,1.1,NA,24,0.01,183,0.4,68,339,0.03,0.4,65,65,65,0.12,0.05,1e-05,2.62,NA
293,"Pescados e frutos do mar","Corvina grande, assada",69,147,613,26.8,3.6,117,0,NA,1.3,60,24,0.03,176,0.5,85,291,0.02,0.7,1e-05,1e-05,1e-05,0.11,0.1,1e-05,4.23,NA
294,"Pescados e frutos do mar","Corvina grande, cozida",73.6,100,419,23.4,2.6,123,0,NA,0.9,69,22,0.02,164,0.6,68,194,0.03,0.7,6,6,6,1e-05,0.03,1e-05,0.77,NA
295,"Pescados e frutos do mar","Dourada de água doce, fresca",76.2,131,549,18.8,5.6,52,0,NA,1.1,12,26,0.01,189,0.2,40,393,0.02,0.5,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,3.7,NA
296,"Pescados e frutos do mar","Lambari, congelado, cru",71.9,131,547,16.8,6.5,159,0,NA,3.6,1181,45,0.28,696,0.9,48,244,0.09,3.3,4,4,4,0.05,1e-05,1e-05,3.3,NA
297,"Pescados e frutos do mar","Lambari, congelado, frito",40.1,327,1368,28.4,22.8,246,0,NA,6.2,1881,66,0.34,1067,0.8,65,331,0.31,5.6,9,9,9,0.25,0.03,0.04,8.93,NA
298,"Pescados e frutos do mar","Lambari, fresco, cru",72.2,152,634,15.7,9.4,144,0,NA,2.2,590,32,0.41,441,0.6,41,207,0.05,2.4,1e-05,1e-05,1e-05,1e-05,0.03,0.07,1.86,NA
299,"Pescados e frutos do mar","Manjuba, com farinha de trigo, frita",41.3,344,1437,23.5,22.6,282,10.2,0.4,2.4,763,47,0.36,578,3,37,319,0.15,3.8,30,30,30,0.05,0.07,1e-05,0.79,NA
300,"Pescados e frutos do mar","Manjuba, frita",40.7,349,1462,30.1,24.5,270,0,NA,4.2,575,32,0.21,735,0.9,41,318,0.14,3.2,12,12,12,0.03,0.03,1e-05,7.27,NA
301,"Pescados e frutos do mar","Merluza, filé, assado",70.7,122,510,26.6,0.9,91,0,NA,1.2,36,20,0.03,273,0.4,120,364,0.03,0.9,1e-05,1e-05,1e-05,0.05,1e-05,1e-05,7.97,NA
302,"Pescados e frutos do mar","Merluza, filé, cru",82.1,89,373,16.6,2,57,0,NA,1.1,20,27,0.01,185,0.2,80,340,1e-05,0.3,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1.34,NA
303,"Pescados e frutos do mar","Merluza, filé, frito",63.5,192,802,26.9,8.5,109,0,NA,1.5,36,38,0.02,279,0.4,90,447,0.03,0.6,1e-05,1e-05,1e-05,0.05,1e-05,1e-05,0.77,NA
304,"Pescados e frutos do mar","Pescada, branca, crua",79.6,111,464,16.3,4.6,51,0,NA,0.9,16,19,0.01,136,0.2,76,261,1e-05,0.3,3,3,3,1e-05,0.04,1e-05,0.6,NA
305,"Pescados e frutos do mar","Pescada, branca, frita",57,223,933,27.4,11.8,165,0,NA,3.2,378,30,0.06,504,0.5,107,355,0.08,1.1,39,39,39,0.08,0.11,1e-05,8.07,NA
306,"Pescados e frutos do mar","Pescada, filé, com farinha de trigo, frito",53.2,283,1186,21.4,19.1,73,5,1e-05,1.2,26,28,0.07,216,0.9,91,216,0.03,0.4,18,18,18,1e-05,0.03,1e-05,0.6,NA
307,"Pescados e frutos do mar","Pescada, filé, cru",79.5,107,449,16.7,4,65,0,NA,0.9,14,23,0.01,141,0.2,77,253,1e-05,0.3,48,48,48,1e-05,0.05,1e-05,3.1,NA
308,"Pescados e frutos do mar","Pescada, filé, frito",66.8,154,645,28.6,3.6,81,0,NA,1.7,10,21,1e-05,204,0.3,115,249,0.03,0.6,4,4,4,0.14,1e-05,1e-05,8.87,NA
309,"Pescados e frutos do mar","Pescada, filé, molho escabeche",74.5,142,594,11.8,8,43,5,0.8,0.7,20,18,0.08,105,1.5,51,208,0.36,0.3,19,NA,NA,1e-05,0.03,1e-05,1.1,6.9
310,"Pescados e frutos do mar","Pescadinha, crua",80.6,76,320,15.5,1.1,84,0,NA,2,332,34,0.07,327,0.5,120,304,0.1,0.6,1e-05,1e-05,1e-05,0.08,1e-05,1e-05,6.6,NA
311,"Pescados e frutos do mar","Pintado, assado",57,192,801,36.5,4,126,0,NA,2,114,42,0.08,332,0.8,81,527,0.04,2.1,7,7,7,0.03,1e-05,1e-05,6.63,NA
312,"Pescados e frutos do mar","Pintado, cru",80.3,91,381,18.6,1.3,50,0,NA,1.1,12,24,0.01,174,0.2,43,294,0.03,0.4,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,4.95,NA
313,"Pescados e frutos do mar","Pintado, grelhado",65.5,152,637,30.8,2.3,99,0,NA,1.6,69,27,0.03,237,0.5,53,360,0.04,0.8,5,5,5,0.03,1e-05,1e-05,2.87,NA
314,"Pescados e frutos do mar","Porquinho, cru",79.2,93,389,20.5,0.6,49,0,NA,1.3,26,24,0.05,207,0.4,67,313,0.04,0.7,5,5,5,1e-05,1e-05,1e-05,1.19,NA
315,"Pescados e frutos do mar","Salmão, filé, com pele, fresco,  grelhado",60.9,229,957,23.9,14,85,0,NA,1.3,29,28,0.02,300,0.5,85,384,0.04,0.6,1e-05,1e-05,1e-05,0.13,0.06,1e-05,5.35,NA
316,"Pescados e frutos do mar","Salmão, sem pele, fresco, cru",69,170,710,19.3,9.7,53,0,NA,1.2,9,27,1e-05,259,0.2,64,376,0.02,0.3,1e-05,1e-05,1e-05,0.2,0.03,1e-05,3.21,NA
317,"Pescados e frutos do mar","Salmão, sem pele, fresco, grelhado",58.1,243,1015,26.1,14.5,73,0,NA,1.6,15,38,0.01,352,0.4,96,518,0.04,0.5,1e-05,1e-05,1e-05,0.23,0.03,1e-05,6.3,NA
318,"Pescados e frutos do mar","Sardinha, assada",60.1,164,688,32.2,3,109,0,NA,4.4,438,51,0.24,578,1.3,74,574,0.14,1.8,1e-05,1e-05,1e-05,0.06,1e-05,1e-05,5.83,NA
319,"Pescados e frutos do mar","Sardinha, conserva em óleo",55.1,285,1192,15.9,24,73,0,NA,2.9,550,35,0.11,496,3.5,666,367,0.03,1.6,1e-05,1e-05,1e-05,0.42,0.04,1e-05,6.55,NA
320,"Pescados e frutos do mar","Sardinha, frita",48.5,257,1075,33.4,12.7,103,0,NA,4.3,482,39,0.25,629,1.1,60,460,0.14,1.6,1e-05,1e-05,1e-05,0.06,1e-05,1e-05,7.1,NA
321,"Pescados e frutos do mar","Sardinha, inteira, crua",76.6,114,477,21.1,2.7,61,0,NA,1.6,167,29,0.1,294,1.3,60,312,0.13,1.3,1e-05,1e-05,1e-05,1e-05,0.07,1e-05,7.7,NA
322,"Pescados e frutos do mar","Tucunaré, filé, congelado, cru",79.9,88,367,18,1.2,47,0,NA,1,19,26,0.01,168,0.3,57,288,0.1,0.4,1e-05,1e-05,1e-05,1e-05,0.05,1e-05,0.9,NA
323,"Carnes e derivados","Apresuntado",73.7,129,539,13.5,6.7,38,2.9,NA,3.3,23,15,0.04,225,0.9,943,270,0.03,1.6,1e-05,NA,NA,0.62,0.04,1e-05,0.7,1e-05
324,"Carnes e derivados","Caldo de carne, tablete",2.9,241,1007,7.8,16.6,1e-05,15.1,0.6,57.6,129,22,0.02,123,1e-05,22180,218,1e-05,1e-05,1e-05,NA,NA,0.7,0.07,0.27,1e-05,NA
325,"Carnes e derivados","Caldo de galinha, tablete",3.4,251,1052,6.3,20.4,2,10.6,11.8,59.3,16,13,0.13,48,0.7,22300,68,1e-05,0.3,1e-05,NA,NA,0.05,0.04,1e-05,NA,NA
326,"Carnes e derivados","Carne, bovina, acém, moído, cozido",61.6,212,889,26.7,10.9,103,0,NA,0.8,4,17,0.01,164,2.7,52,256,0.06,8.1,1e-05,1e-05,1e-05,1e-05,0.32,1e-05,1.76,NA
327,"Carnes e derivados","Carne, bovina, acém, moído, cru",72.7,137,571,19.4,5.9,58,0,NA,0.9,3,14,1e-05,158,1.8,49,237,0.08,6.3,2,2,2,0.15,0.21,0.03,4.33,NA
328,"Carnes e derivados","Carne, bovina, acém, sem gordura, cozido",60.4,215,898,27.3,10.9,107,0,NA,0.8,7,14,1e-05,164,2.4,56,254,0.07,8,1e-05,1e-05,1e-05,1e-05,0.04,0.07,1.63,NA
329,"Carnes e derivados","Carne, bovina, acém, sem gordura, cru",71.5,144,603,20.8,6.1,53,0,NA,1,5,13,1e-05,144,1.5,50,234,0.04,5.2,2,2,2,0.12,0.12,1e-05,2.33,NA
330,"Carnes e derivados","Carne, bovina, almôndegas, cruas",64.3,189,792,12.3,11.2,34,9.8,NA,2.4,22,24,0.17,145,1.6,621,328,0.15,2.3,1e-05,NA,NA,0.11,0.04,1e-05,2.2,NA
331,"Carnes e derivados","Carne, bovina, almôndegas, fritas",48.1,272,1137,18.2,15.8,36,14.3,NA,3.7,27,48,0.41,244,1.9,1030,536,0.19,2.6,1e-05,NA,NA,0.13,0.07,1e-05,6.6,NA
332,"Carnes e derivados","Carne, bovina, bucho, cozido",74.1,133,557,21.6,4.5,245,0,NA,0.3,13,7,0.01,63,0.6,38,70,0.05,2.5,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,2.18,NA
333,"Carnes e derivados","Carne, bovina, bucho, cru",75,137,574,20.5,5.5,145,0,NA,0.4,9,6,0.01,61,0.5,45,85,0.06,2.1,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,2.13,NA
334,"Carnes e derivados","Carne, bovina, capa de contra-filé, com gordura, crua",64.8,217,908,19.2,15,63,0,NA,0.9,6,17,0.01,144,1.5,58,267,0.06,3.5,4,4,4,0.09,0.09,0.12,1.55,NA
335,"Carnes e derivados","Carne, bovina, capa de contra-filé, com gordura, grelhada",47.9,312,1304,30.7,20,120,0,NA,1.1,7,18,1e-05,214,2.6,81,323,0.13,6.2,1e-05,1e-05,1e-05,1e-05,0.06,1e-05,1.74,NA
336,"Carnes e derivados","Carne, bovina, capa de contra-filé, sem gordura, crua",73,131,548,21.5,4.3,58,0,NA,1,6,20,1e-05,178,2,79,325,0.06,4.6,1e-05,1e-05,1e-05,1e-05,0.04,1e-05,1.81,NA
337,"Carnes e derivados","Carne, bovina, capa de contra-filé, sem gordura, grelhada",53.7,239,1002,35.1,10,80,0,NA,1.3,9,26,0.01,287,2.8,83,385,0.12,7.6,1e-05,1e-05,1e-05,0.03,0.08,1e-05,1.86,NA
338,"Carnes e derivados","Carne, bovina, charque, cozido",45.8,263,1099,36.4,11.9,113,0,NA,3.6,15,13,0.02,101,3.5,1443,90,0.07,6.1,1e-05,1e-05,1e-05,0.05,0.07,1e-05,1.5,NA
339,"Carnes e derivados","Carne, bovina, charque, cru",44.5,249,1041,22.7,16.8,81,0,NA,14.5,15,13,1e-05,122,1.5,5875,236,0.03,3.9,1e-05,1e-05,1e-05,0.12,0.07,1e-05,1.63,NA
340,"Carnes e derivados","Carne, bovina, contra-filé, à milanesa",42.2,352,1471,20.6,24,99,12.2,0.4,1.1,15,27,0.27,203,2.9,77,271,0.1,2.9,15,NA,NA,0.07,0.04,1e-05,3.02,NA
341,"Carnes e derivados","Carne, bovina, contra-filé de costela, cru",66.4,202,847,19.8,13.1,52,0,NA,1,3,14,1e-05,164,1.6,39,245,0.04,4.4,3,3,3,0.14,0.08,1e-05,2.68,NA
342,"Carnes e derivados","Carne, bovina, contra-filé de costela, grelhado",52.2,275,1150,29.9,16.3,98,0,NA,1.2,4,24,0.01,252,2.8,51,383,0.08,6.7,1e-05,1e-05,1e-05,1e-05,0.19,0.17,2.75,NA
343,"Carnes e derivados","Carne, bovina, contra-filé, com gordura, cru",65.7,206,861,21.2,12.8,73,0,NA,0.9,4,18,0.01,164,1.3,44,285,0.04,2.8,4,4,4,0.11,0.08,0.03,3.79,NA
344,"Carnes e derivados","Carne, bovina, contra-filé, com gordura, grelhado",51.7,278,1163,32.4,15.5,144,0,NA,1.2,4,19,1e-05,219,2.4,57,352,0.09,4.8,1e-05,1e-05,1e-05,1e-05,0.18,0.13,4.91,NA
345,"Carnes e derivados","Carne, bovina, contra-filé, sem gordura, cru",69.1,157,655,24,6,59,0,NA,1,4,21,1e-05,184,1.7,53,335,0.05,3.2,1e-05,1e-05,1e-05,1e-05,0.2,1e-05,4.64,NA
346,"Carnes e derivados","Carne, bovina, contra-filé, sem gordura, grelhado",57.5,194,810,35.9,4.5,102,0,NA,1.3,5,21,1e-05,241,2.4,58,386,0.09,5.1,1e-05,1e-05,1e-05,1e-05,0.17,0.16,4.93,NA
347,"Carnes e derivados","Carne, bovina, costela, assada",43.2,373,1561,28.8,27.7,95,0,NA,1,28,20,1e-05,179,2.2,92,270,0.08,5.5,1e-05,1e-05,1e-05,1e-05,0.08,0.35,0.56,NA
348,"Carnes e derivados","Carne, bovina, costela, crua",52.7,358,1497,16.7,31.8,44,0,NA,0.9,NA,12,1e-05,130,1.2,70,151,1e-05,2.7,5,5,5,0.12,0.11,1e-05,5.99,NA
349,"Carnes e derivados","Carne, bovina, coxão duro, sem gordura, cozido",58.5,217,906,31.9,8.9,71,0,NA,0.9,4,14,1e-05,189,1.7,41,252,0.07,5,2,2,2,1e-05,1e-05,1e-05,3.26,NA
350,"Carnes e derivados","Carne, bovina, coxão duro, sem gordura, cru",69.8,148,619,21.5,6.2,60,0,NA,1.1,3,21,1e-05,189,1.9,49,358,0.05,2.8,2,2,2,0.12,0.2,1e-05,4.38,NA
351,"Carnes e derivados","Carne, bovina, coxão mole, sem gordura, cozido",58,219,915,32.4,8.9,84,0,NA,1.2,4,13,1e-05,183,2.6,44,239,0.11,4.7,2,2,2,1e-05,1e-05,1e-05,4.09,NA
352,"Carnes e derivados","Carne, bovina, coxão mole, sem gordura, cru",68.6,169,707,21.2,8.7,84,0,NA,1,3,21,1e-05,175,1.9,61,335,0.05,2.6,3,3,3,0.12,0.19,1e-05,2.32,NA
353,"Carnes e derivados","Carne, bovina, cupim, assado",48.4,330,1381,28.6,23,91,0,NA,1,8,18,1e-05,212,2.7,72,321,0.08,5.3,1e-05,1e-05,1e-05,1e-05,0.08,0.14,2.16,NA
354,"Carnes e derivados","Carne, bovina, cupim, cru",64.8,221,926,19.5,15.3,51,0,NA,0.9,4,13,1e-05,220,1.1,47,151,0.03,2.4,3,3,3,0.11,0.05,0.03,3.33,NA
355,"Carnes e derivados","Carne, bovina, fígado, cru",71.3,141,590,20.7,5.4,393,1.1,NA,1.5,4,12,0.26,334,5.6,76,265,9.01,3.5,7937,7937,7937,0.14,0.9,1e-05,10.66,NA
356,"Carnes e derivados","Carne, bovina, fígado, grelhado",55,225,942,29.9,9,601,4.2,NA,2,6,10,0.22,420,5.8,82,309,12.58,4,14574,14574,14574,0.21,2.69,1e-05,11.92,NA
357,"Carnes e derivados","Carne, bovina, filé mingnon, sem gordura, cru",71.9,143,598,21.6,5.6,55,0,NA,1.1,3,21,0.01,193,1.9,49,322,0.08,2.8,4,4,4,0.12,0.1,0.04,1.78,NA
358,"Carnes e derivados","Carne, bovina, filé mingnon, sem gordura, grelhado",57,220,919,32.8,8.8,103,0,NA,1.3,4,28,0.02,308,2.9,58,326,0.14,4.1,1e-05,1e-05,1e-05,0.03,0.08,0.05,4.27,NA
359,"Carnes e derivados","Carne, bovina, flanco, sem gordura, cozido",62,196,818,29.4,7.8,62,0,NA,0.9,4,14,1e-05,181,2.8,42,249,0.07,5.6,2,2,2,1e-05,1e-05,1e-05,2.32,NA
